Quarter,Inventory Bldgs,Inventory SF,Vacant SF Direct,Vacant SF Sublet,Vacant SF Total,Vacant Percent % Direct,Vacant Percent % Sublet,Vacant Percent % Total,Total Available SF Direct,Total Available SF Sublet,Total Available SF Total,Total Available Percent % Direct,Total Available Percent % Sublet,Total Available Percent % Total,Vacant Available SF Direct,Vacant Available SF Sublet,Vacant Available SF Total,Vacant Available Percent % Direct,Vacant Available Percent % Sublet,Vacant Available Percent % Total,Occupancy SF,Occupancy %,Net Absorption SF Direct,Net Absorption SF Sublet,Net Absorption SF Total,Gross Absorption SF Direct,Gross Absorption SF Sublet,Gross Absorption SF Total,Leasing Activity Deals Direct,Leasing Activity Deals Sublet,Leasing Activity Deals Total,Leasing Activity SF Direct,Leasing Activity SF Sublet,Leasing Activity SF Total,Deliveries Bldgs,Deliveries SF,Under Construction Bldgs,Under Construction SF,Office Gross Rent Direct,Office Gross Rent Sublet,Office Gross Rent Overall,Office Base Rent Direct,Office Base Rent Sublet,Office Base Rent Overall
2014 Q2,3895,563558569,43000213,3890329,46890542,7.6,0.7,8.3,53215001,8515319,61730320,9.3,1.5,10.8,34013685,3091156,37104841,6,0.5,6.6,516668027,91.7,246796,201712,448508,7248718,1848142,9096860,1371,206,1577,14447162,1293147,15740309,1,5322,15,7746289,55.65,45.8,55.34,54.07,44.5,53.33
2014 Q1,3902,563751059,43440089,4092041,47532130,7.7,0.7,8.4,54663072,8487195,63150267,9.6,1.5,11.1,35424895,3118259,38543154,6.3,0.6,6.8,516218929,91.6,-114222,10707,-103515,6639876,1818417,8458293,1272,209,1481,11907514,1682847,13590361,0,0,13,7694877,54.47,58.68,54.72,52.65,56.66,51.94
2013 Q4,3914,564334606,43909414,4102748,48012162,7.8,0.7,8.5,55931050,8690712,64650725,9.8,1.5,11.4,36709972,3454221,40164193,6.5,0.6,7.1,516322444,91.5,-1828690,-114860,-1943550,6788331,1732756,8521087,1403,199,1602,15731250,2192719,17923969,2,2721000,8,4486334,52.72,45.71,52.43,51.28,43.33,50.16
2013 Q3,3925,562091266,39837384,3987888,43825272,7.1,0.7,7.8,58358462,9631789,68221924,10.3,1.7,12,33574905,3570723,37429361,6,0.6,6.7,518265994,92.2,225140,338795,563935,6926755,1944298,8871053,1235,205,1440,8150384,1649382,9799766,4,1171000,9,6985614,51.93,46.63,51.74,50.39,44.13,49.43
2013 Q2,3926,561049826,39021084,4326683,43347767,7,0.8,7.7,58862586,10007959,68899508,10.3,1.8,12.1,32942988,3860475,36803463,5.9,0.7,6.6,517702059,92.3,-1819127,295152,-1523975,6925695,1991191,8916886,1492,216,1708,10567078,1917882,12484960,1,989000,13,8156614,51.22,51.1,51.18,49.83,48.4,49.13
2013 Q1,3935,560248874,36401631,4621835,41023466,6.5,0.8,7.3,57331719,10284865,67768369,10.1,1.8,11.9,30293603,4264121,34557724,5.4,0.8,6.2,519225408,92.7,124981,-204510,-79529,7490473,2235224,9725697,1393,207,1600,10166901,1730785,11897686,0,0,13,8671942,49.88,52.7,50.02,47.97,50.43,47.45
2012 Q4,3952,561185363,37463101,4417325,41880426,6.7,0.8,7.5,56636383,10043763,66709109,9.9,1.8,11.7,29654482,3814297,33468779,5.3,0.7,6,519304937,92.5,266668,91624,358292,5411985,1447143,6859128,1046,161,1207,9139503,1319835,10459338,1,19174,11,8592178,49.4,54.82,49.66,47.6,52.31,47.13
2012 Q3,3961,562111684,38656090,4508949,43165039,6.9,0.8,7.7,57860352,10605614,68465966,10.1,1.9,12,31410991,3978703,35389694,5.6,0.7,6.3,518946645,92.3,-1073239,-347862,-1421101,4968093,1355786,6323879,1203,182,1385,8732862,1637394,10370256,0,0,11,8190352,48.68,53.47,48.9,48.51,50.87,47.94
2012 Q2,3969,562758717,38229884,4161087,42390971,6.8,0.7,7.5,59519305,10850151,70366513,10.4,1.9,12.3,32066625,3959580,36026205,5.7,0.7,6.4,520367746,92.5,415901,-37999,377902,6223659,1179018,7402677,1283,157,1440,12318940,1025625,13344565,2,300576,11,8190352,48.6,52.73,48.76,48.38,50.71,47.84
2012 Q1,3970,562639507,38526575,4123088,42649663,6.8,0.7,7.6,58777133,11035652,69787531,10.3,1.9,12.2,32145489,3865752,36011241,5.7,0.7,6.4,519989844,92.4,-309190,-186784,-495974,6001890,1719877,7721767,1339,146,1485,7880200,952380,8832580,2,51766,11,8025928,47.8,51.35,47.95,47.41,48.81,46.96
2011 Q4,3979,563627573,39205451,3936304,43141755,7,0.7,7.7,60696737,9722465,70393978,10.6,1.7,12.3,33414202,3288705,36702907,5.9,0.6,6.5,520485818,92.3,-55155,688,-54467,6314155,1522991,7837146,1268,161,1429,9502833,1464270,10967103,2,63118,12,7677694,47.56,49.46,47.71,47.21,47.04,46.79
2011 Q3,3985,563679008,39201731,3936992,43138723,7,0.7,7.7,60840731,9751799,70588906,10.6,1.7,12.4,34099673,3224446,37324119,6,0.6,6.6,520540285,92.3,1705560,186627,1892187,7403566,1857456,9261022,1312,169,1481,8259809,1483029,9742838,2,252000,14,7740812,46.92,42.71,46.8,46.42,40.22,45.83
2011 Q2,3996,564987600,42215883,4123619,46339502,7.5,0.7,8.2,59129246,10324076,69429374,10.3,1.8,12.1,34385257,3451273,37836530,6.1,0.6,6.7,518648098,91.8,-222147,70051,-152096,6793504,1648104,8441608,1520,166,1686,12928106,1637340,14565446,0,0,14,6969312,46.37,41.5,46.24,44.22,38.8,43.79
2011 Q1,3998,565047845,42053981,4193670,46247651,7.4,0.7,8.2,61228868,10910854,71865467,10.7,1.9,12.6,36235153,3559165,39794318,6.4,0.6,7,518800194,91.8,-2240123,35993,-2204130,6662651,1464401,8127052,1396,153,1549,11047509,1406394,12453903,1,39545,14,6969312,45.65,39.27,45.38,43.52,37.11,43.06
2010 Q4,4002,565186900,39952913,4229663,44182576,7.1,0.7,7.8,59970475,10836744,70564189,10.5,1.9,12.3,34846107,3549398,38395505,6.2,0.6,6.8,521004324,92.2,884878,1045414,1930292,6358507,2377856,8736363,1281,157,1438,8585455,1819180,10404635,0,0,13,6945739,45.04,39.27,44.72,43.27,36.9,42.76
2010 Q3,4011,566413597,42064488,5275077,47339565,7.4,0.9,8.4,61920772,12160952,73846959,10.8,2.1,12.9,36427905,4255073,40682978,6.4,0.8,7.2,519074032,91.6,-1662508,308056,-1354452,5928143,1801838,7729981,1394,146,1540,8156653,1424478,9581131,2,1426461,13,6945739,43.32,39.78,43.11,41.68,37.39,41.35
2010 Q2,4013,565536737,39525120,5583133,45108253,7,1,8,61619874,13820327,75416253,10.7,2.4,13.1,35133216,4702872,39836088,6.2,0.8,7,520428484,92,-738124,547344,-190780,5928898,2203840,8132738,1553,183,1736,9671593,1849147,11520740,1,23283,15,8372200,43.26,37.98,42.91,41.66,35.53,41.3
2010 Q1,4017,565663331,38913590,6130477,45044067,6.9,1.1,8,61677976,14541622,76245715,10.7,2.5,13.3,35483313,5131722,40615035,6.3,0.9,7.2,520619264,92,-3796063,244429,-3551634,5718940,1852082,7571022,1389,178,1567,8386691,1588687,9975378,3,91544,12,8153413,42.79,41.15,42.69,41.29,38.66,41.11
2009 Q4,4023,565877684,35331880,6374906,41706786,6.2,1.1,7.4,60038573,15711293,75738826,10.5,2.7,13.2,32703870,5598258,38302128,5.8,1,6.8,524170898,92.6,1380701,-272076,1108625,7504199,1595601,9099800,1345,172,1517,10662569,1814716,12477285,2,2227473,14,8139957,44.06,40.42,43.9,42.64,39.54,42.47
2009 Q3,4030,563928461,34775696,6102830,40878526,6.2,1.1,7.2,57633935,16019204,73653139,10.1,2.8,12.9,31747099,5556252,37303351,5.6,1,6.6,523049935,92.8,-68257,127768,59511,7626869,1680748,9307617,1221,209,1430,7054333,1823882,8878215,3,2479814,15,7157252,49.87,41.29,49.37,48.42,42.14,47.93
2009 Q2,4042,562456647,33235625,6230598,39466223,5.9,1.1,7,56090425,16076063,72147221,9.8,2.8,12.6,29585008,5796849,35381857,5.3,1,6.3,522990424,93,-1716894,-41527,-1758421,5167686,1467097,6634783,1088,154,1242,4988250,1005278,5993528,3,434781,17,9613783,52.25,42.64,51.68,50.69,43.32,50.12
2009 Q1,4048,562370669,31432753,6189071,37621824,5.6,1.1,6.7,52837162,15247640,67816405,9.2,2.7,11.9,28093127,5805680,33898807,5,1,6,524748845,93.3,-3154887,-936759,-4091646,4327811,1368268,5696079,842,145,987,5062387,1001835,6064222,1,67728,18,9304564,54.88,45.44,54.3,52.91,45.54,52.43
2008 Q4,4055,562485727,28392924,5252312,33645236,5,0.9,6,47074419,12452395,59205423,8.2,2.2,10.4,25398816,4980056,30378872,4.5,0.9,5.4,528840491,94,-774777,-811528,-1586305,5018760,1435628,6454388,880,128,1008,6121716,977888,7099604,1,1043,18,9349992,59.06,47.79,58.36,56.76,47.23,56.18
2008 Q3,4058,562752817,27885237,4440784,32326021,5,0.8,5.7,41644809,9414034,50756625,7.3,1.7,8.9,23719811,4002714,27722525,4.2,0.7,4.9,530426796,94.3,-814387,-397895,-1212282,4484272,1340039,5824311,933,146,1079,4772589,1141496,5914085,1,3716,17,7006703,63.46,51.29,63.01,59.58,49.16,59.12
2008 Q2,4062,562912192,27230225,4042889,31273114,4.8,0.7,5.6,40368825,7806884,48085896,7.1,1.4,8.4,23380381,3532551,26912932,4.2,0.6,4.8,531639078,94.4,-940601,135053,-805548,5085731,1707659,6793390,1034,183,1217,6869674,2098535,8968209,1,91828,18,7010419,64.36,51.1,63.9,60.44,49.66,59.9
