Quarter,Inventory Bldgs,Inventory SF,Vacant SF Direct,Vacant SF Sublet,Vacant SF Total,Vacant Percent % Direct,Vacant Percent % Sublet,Vacant Percent % Total,Total Available SF Direct,Total Available SF Sublet,Total Available SF Total,Total Available Percent % Direct,Total Available Percent % Sublet,Total Available Percent % Total,Vacant Available SF Direct,Vacant Available SF Sublet,Vacant Available SF Total,Vacant Available Percent % Direct,Vacant Available Percent % Sublet,Vacant Available Percent % Total,Occupancy SF,Occupancy %,Net Absorption SF Direct,Net Absorption SF Sublet,Net Absorption SF Total,Gross Absorption SF Direct,Gross Absorption SF Sublet,Gross Absorption SF Total,Leasing Activity Deals Direct,Leasing Activity Deals Sublet,Leasing Activity Deals Total,Leasing Activity SF Direct,Leasing Activity SF Sublet,Leasing Activity SF Total,Deliveries Bldgs,Deliveries SF,Under Construction Bldgs,Under Construction SF,Office Gross Rent Direct,Office Gross Rent Sublet,Office Gross Rent Overall,Office Base Rent Direct,Office Base Rent Sublet,Office Base Rent Overall
2002 Q1,4136,559242273,34506856,16367297,50874153,6.2,2.9,9.1,1302159,0,1302159,0.2,0,0.2,26072422,14300603,40373025,4.7,2.6,7.2,508368120,90.9,1839677,-1597734,241943,10216533,4140133,14356666,1477,212,1689,9972809,1563075,11535884,5,2700719,10,6541421,43.93,41.94,43.57,41.79,40.23,41.51
2001 Q4,4137,556925827,34030087,14769563,48799650,6.1,2.7,8.8,1185604,0,1185604,0.2,0,0.2,25386816,13992118,39378934,4.6,2.5,7.1,508126177,91.2,-3247190,-77000,-3324190,7772005,6552828,14324833,1228,265,1493,10113392,3824690,13938082,1,1200000,15,9242140,45.12,44.88,45.07,43.06,43.05,43.06
2001 Q3,4140,555901691,29758761,14692563,44451324,5.4,2.6,8,1270360,0,1270360,0.2,0,0.2,23961971,12501737,36463708,4.3,2.2,6.6,511450367,92,-4910978,-3807711,-8718689,7699656,2710166,10409822,1129,167,1296,8917480,1685812,10603292,0,0,15,10117029,47.31,44.8,46.91,45.29,43.09,44.94
2001 Q2,4150,570960442,39915011,10884852,50799863,7,1.9,8.9,1024600,0,1024600,0.2,0,0.2,19611177,9215088,28826265,3.4,1.6,5,520160579,91.1,-18011014,-2439302,-20450316,6932515,1362467,8294982,1123,137,1260,6799581,1317293,8116874,2,908091,14,10015029,48.22,43.82,47.64,46.18,42.09,45.63
2001 Q1,4155,570735125,21691522,8432708,30124230,3.8,1.5,5.3,844400,0,844400,0.1,0,0.1,16072682,6811826,22884508,2.8,1.2,4,540610895,94.7,-2653480,-5290264,-7943744,7542549,1192721,8735270,1191,100,1291,11524989,2058492,13583481,2,29178,11,7424691,50.11,46.23,49.66,48.12,44.41,47.69
2000 Q4,4160,571126822,19429739,3142444,22572183,3.4,0.6,4,634400,0,634400,0.1,0,0.1,13553232,2834048,16387280,2.4,0.5,2.9,548554639,96,1574762,-1531213,43549,7955887,691493,8647380,1086,81,1167,9591639,751707,10343346,1,33520,11,7359039,48.85,49.93,48.94,46.83,48.33,46.95
2000 Q3,4161,571237652,21115331,1611231,22726562,3.7,0.3,4,665900,0,665900,0.1,0,0.1,13194464,1231911,14426375,2.3,0.2,2.5,548511090,96,-8610255,-609615,-9219870,9186788,1053144,10239932,1203,90,1293,9906080,982759,10888839,0,0,11,5516708,48.82,49.11,48.84,46.79,47.24,46.77
2000 Q2,4163,571421389,12688813,1001616,13690429,2.2,0.2,2.4,485300,0,485300,0.1,0,0.1,12495176,1001616,13496792,2.2,0.2,2.4,557730960,97.6,5601116,314470,5915586,13589575,1413904,15003479,1317,79,1396,11857550,830809,12688359,0,0,9,5021692,45.5,45.01,45.46,43.46,43.08,43.43
2000 Q1,4166,571962470,18831010,1316086,20147096,3.3,0.2,3.5,593500,0,593500,0.1,0,0.1,18273869,1316086,19589955,3.2,0.2,3.4,551815374,96.5,1562852,279733,1842585,12922869,1285118,14207987,1788,94,1882,18205295,920805,19126100,7,187602,6,3822550,42.28,42.73,42.32,40.25,40.82,40.29
1999 Q4,4163,571962613,20394005,1595819,21989824,3.6,0.3,3.8,599900,0,599900,0.1,0,0.1,19631323,1595819,21227142,3.4,0.3,3.7,549972789,96.2,3408717,837469,4246186,11662030,1794518,13456548,1515,82,1597,13782076,838308,14620384,1,103000,12,3336152,40.15,41.81,40.28,38.13,39.84,38.27
1999 Q3,4168,573141354,24981463,2433288,27414751,4.4,0.4,4.8,648500,0,648500,0.1,0,0.1,23681622,2433288,26114910,4.1,0.4,4.6,545726603,95.2,-834202,157060,-677142,13187909,1650695,14838604,1327,95,1422,10682926,902880,11585806,0,0,13,3439152,39.03,40.74,39.16,36.98,38.67,37.1
1999 Q2,4170,573197754,24203661,2590348,26794009,4.2,0.5,4.7,722300,0,722300,0.1,0,0.1,24122661,2590348,26713009,4.2,0.5,4.7,546403745,95.3,2440891,155853,2596744,11644753,955221,12599974,1470,101,1571,11154921,872511,12027432,2,2123720,13,3439152,38.63,39.83,38.74,36.7,37.78,36.8
1999 Q1,4176,571339893,24786691,2746201,27532892,4.3,0.5,4.8,703800,0,703800,0.1,0,0.1,24500132,2746201,27246333,4.3,0.5,4.8,543807001,95.2,-836715,-662804,-1499519,9150888,986636,10137524,1472,93,1565,10198558,710553,10909111,1,112500,10,5500261,37.6,37.98,37.63,35.6,36,35.63
1998 Q4,4186,572443213,25053296,2083397,27136693,4.4,0.4,4.7,706800,0,706800,0.1,0,0.1,23714286,2083397,25797683,4.1,0.4,4.5,545306520,95.3,-2580771,-572531,-3153302,11058898,1203911,12262809,1199,70,1269,10232055,533685,10765740,0,0,5,2364070,35.3,36.93,35.43,33.33,35.08,33.48
1998 Q3,4190,572811053,22840365,1510866,24351231,4,0.3,4.3,570200,0,570200,0.1,0,0.1,22438272,1509673,23947945,3.9,0.3,4.2,548459822,95.7,2727935,156713,2884648,12201594,1341831,13543425,1315,87,1402,10752245,660244,11412489,0,0,5,2364070,34.43,37.33,34.67,32.47,35.35,32.71
1998 Q2,4196,574172751,26929998,1667579,28597577,4.7,0.3,5,618500,0,618500,0.1,0,0.1,25532503,1666711,27199214,4.4,0.3,4.7,545575174,95,1849760,642679,2492439,12174052,1827843,14001895,1349,86,1435,12591281,760865,13352146,1,97500,4,2339220,33.17,35.21,33.35,31.18,33.25,31.36
1998 Q1,4201,575017522,29624529,2310258,31934787,5.2,0.4,5.6,1044663,0,1044663,0.2,0,0.2,28643461,2309390,30952851,5,0.4,5.4,543082735,94.4,12410611,-45896,12364715,28937214,853433,29790647,1697,113,1810,17546328,978527,18524855,4,52890,5,2436720,32.11,33.2,32.21,30.13,31.25,30.23
1997 Q4,4200,575226882,42243900,2264362,44508262,7.3,0.4,7.7,923500,0,923500,0.2,0,0.2,32670389,2266255,34936644,5.7,0.4,6.1,530718620,92.3,2299094,136347,2435441,6872648,646356,7519004,1092,31,1123,12493297,730995,13224292,0,0,8,2386610,29.71,31.17,29.86,28.43,29.88,28.56
1997 Q3,4206,575731621,45051521,2400709,47452230,7.8,0.4,8.2,999000,0,999000,0.2,0,0.2,35645815,2426027,38071842,6.2,0.4,6.6,528279391,91.8,3676176,154947,3831123,8762955,632346,9395301,1276,37,1313,11978785,872384,12851169,1,558034,7,2274110,28.02,31.72,28.4,26.71,30.4,27.09
1997 Q2,4206,575189587,48185663,2555656,50741319,8.4,0.4,8.8,973800,0,973800,0.2,0,0.2,39411685,2583274,41994959,6.9,0.4,7.3,524448268,91.2,5127698,255652,5383350,10211500,662295,10873795,1399,42,1441,11593288,1103132,12696420,0,0,8,2832144,28.06,28.98,28.16,26.66,27.65,26.77
1997 Q1,4209,575291587,53415361,2811308,56226669,9.3,0.5,9.8,1171500,0,1171500,0.2,0,0.2,44531474,2839863,47371337,7.7,0.5,8.2,519064918,90.2,1816712,-70119,1746593,7825669,715508,8541177,1198,23,1221,9531892,725489,10257381,4,339953,4,2535534,27.82,29.28,27.96,26.43,27.95,26.57
1996 Q4,4213,575414132,55344420,2741189,58085609,9.6,0.5,10.1,1242900,0,1242900,0.2,0,0.2,46130832,2770660,48901492,8,0.5,8.5,517328523,89.9,3464126,573376,4037502,8658187,1140087,9798274,1424,44,1468,12249986,1124203,13374189,1,24828,6,995487,26.49,29.6,26.87,25.08,28.26,25.47
1996 Q3,4217,576191933,59649029,3314565,62963594,10.4,0.6,10.9,1243400,0,1243400,0.2,0,0.2,49942595,3351925,53294520,8.7,0.6,9.2,513228339,89.1,0,0,0,0,0,0,1124,31,1155,9476465,830489,10306954,1,16025,7,1020315,27.46,29.12,27.67,26.05,27.78,26.27
